SignalIdentifier,Timestamp,EventCode,EventParam
5000,6/14/2023 0:01:58.1,8,2
5000,6/14/2023 0:02:03.1,9,2
5000,6/14/2023 0:02:19.8,1,2
5000,6/14/2023 0:03:47.7,8,2
5000,6/14/2023 0:03:52.7,9,2
5000,6/14/2023 0:04:10.9,1,2
5000,6/14/2023 0:05:08.2,8,2
5000,6/14/2023 0:05:13.2,9,2
5000,6/14/2023 0:05:29.7,1,2
5000,6/14/2023 0:06:10.9,8,2
5000,6/14/2023 0:06:15.9,9,2
5000,6/14/2023 0:06:32.5,1,2
5000,6/14/2023 0:07:51.2,8,2
5000,6/14/2023 0:07:56.2,9,2
5000,6/14/2023 0:08:13.7,1,2
5000,6/14/2023 0:10:30.9,8,2
5000,6/14/2023 0:10:35.9,9,2
5000,6/14/2023 0:10:53.2,1,2
5000,6/14/2023 0:18:47.5,8,2
5000,6/14/2023 0:18:52.5,9,2
5000,6/14/2023 0:19:09.7,1,2
5000,6/14/2023 0:19:21.4,8,2
5000,6/14/2023 0:19:26.4,9,2
5000,6/14/2023 0:19:44.6,1,2
5000,6/14/2023 0:20:45.0,8,2
5000,6/14/2023 0:20:50.0,9,2
5000,6/14/2023 0:23:35.9,8,2
5000,6/14/2023 0:23:40.9,9,2
5000,6/14/2023 0:23:57.5,1,2
5000,6/14/2023 0:24:21.7,8,2
5000,6/14/2023 0:24:26.7,9,2
5000,6/14/2023 0:24:44.9,1,2
5000,6/14/2023 0:27:16.8,8,2
5000,6/14/2023 0:27:21.8,9,2
5000,6/14/2023 0:27:38.3,1,2
5000,6/14/2023 0:29:26.1,8,2
5000,6/14/2023 0:29:31.1,9,2
5000,6/14/2023 0:29:48.7,1,2
5000,6/14/2023 0:35:17.9,8,2
5000,6/14/2023 0:35:22.9,9,2
5000,6/14/2023 0:35:42.7,1,2
5000,6/14/2023 0:40:01.8,8,2
5000,6/14/2023 0:40:06.8,9,2
5000,6/14/2023 0:40:23.4,1,2
5000,6/14/2023 0:40:58.5,8,2
5000,6/14/2023 0:42:06.9,8,2
5000,6/14/2023 0:42:11.9,9,2
5000,6/14/2023 0:42:29.4,1,2
5000,6/14/2023 0:46:51.1,8,2
5000,6/14/2023 0:46:56.1,9,2
5000,6/14/2023 0:47:14.0,1,2
5000,6/14/2023 0:48:44.9,8,2
5000,6/14/2023 0:48:49.9,9,2
5000,6/14/2023 0:49:06.5,1,2
5000,6/14/2023 1:00:09.0,8,2
5000,6/14/2023 1:00:14.0,9,2
5000,6/14/2023 1:00:33.6,1,2
5000,6/14/2023 1:02:52.4,8,2
5000,6/14/2023 1:02:57.4,9,2
5000,6/14/2023 1:03:14.3,1,2
5000,6/14/2023 1:12:06.7,8,2
5000,6/14/2023 1:12:11.7,9,2
5000,6/14/2023 1:12:31.1,1,2
5000,6/14/2023 1:17:06.9,8,2
5000,6/14/2023 1:17:11.9,9,2
5000,6/14/2023 1:17:30.4,1,2
5000,6/14/2023 1:35:51.9,8,2
5000,6/14/2023 1:35:56.9,9,2
5000,6/14/2023 1:36:13.9,1,2
5000,6/14/2023 1:37:33.7,8,2
5000,6/14/2023 1:37:38.7,9,2
5000,6/14/2023 1:37:55.2,1,2
5000,6/14/2023 1:42:00.1,8,2
5000,6/14/2023 1:42:05.1,9,2
5000,6/14/2023 1:42:21.7,1,2
5000,6/14/2023 1:43:26.3,8,2
5000,6/14/2023 1:43:31.3,9,2
5000,6/14/2023 1:43:49.9,1,2
5000,6/14/2023 1:49:44.8,8,2
5000,6/14/2023 1:49:49.8,9,2
5000,6/14/2023 1:50:07.4,1,2
5000,6/14/2023 1:53:34.7,8,2
5000,6/14/2023 1:53:39.7,9,2
5000,6/14/2023 1:53:56.3,1,2
5000,6/14/2023 2:04:21.9,8,2
5000,6/14/2023 2:04:26.9,9,2
5000,6/14/2023 2:04:45.8,1,2
5000,6/14/2023 2:05:54.9,8,2
5000,6/14/2023 2:05:59.9,9,2
5000,6/14/2023 2:06:17.6,1,2
5000,6/14/2023 2:19:45.1,8,2
5000,6/14/2023 2:19:50.1,9,2
5000,6/14/2023 2:20:09.0,1,2
5000,6/14/2023 2:21:57.9,1,2
5000,6/14/2023 2:33:13.9,8,2
5000,6/14/2023 2:33:18.9,9,2
5000,6/14/2023 2:33:35.5,1,2
5000,6/14/2023 2:34:36.0,8,2
5000,6/14/2023 2:34:41.0,9,2
5000,6/14/2023 2:34:57.6,1,2
5000,6/14/2023 2:35:50.0,8,2
5000,6/14/2023 2:35:55.0,9,2
5000,6/14/2023 2:36:11.6,1,2
5000,6/14/2023 3:25:00.4,8,2
5000,6/14/2023 3:25:05.4,9,2
5000,6/14/2023 3:25:22.3,1,2
5000,6/14/2023 3:29:19.2,8,2
5000,6/14/2023 3:29:24.2,9,2
5000,6/14/2023 3:30:08.7,1,2
5000,6/14/2023 3:43:38.5,8,2
5000,6/14/2023 3:43:43.5,9,2
5000,6/14/2023 3:44:00.1,1,2
5000,6/14/2023 3:45:31.5,8,2
5000,6/14/2023 3:45:36.5,9,2
5000,6/14/2023 3:45:53.1,1,2
5000,6/14/2023 3:48:45.0,8,2
5000,6/14/2023 3:48:50.0,9,2
5000,6/14/2023 3:49:07.3,1,2
5000,6/14/2023 3:49:36.5,8,2
5000,6/14/2023 3:49:41.5,9,2
5000,6/14/2023 3:49:58.0,1,2
5000,6/14/2023 3:51:47.8,9,2
5000,6/14/2023 3:52:04.9,1,2
5000,6/14/2023 3:52:25.6,8,2
5000,6/14/2023 3:53:53.0,8,2
5000,6/14/2023 3:53:58.0,9,2
5000,6/14/2023 3:54:15.5,1,2
5000,6/14/2023 3:57:11.8,8,2
5000,6/14/2023 3:57:16.8,9,2
5000,6/14/2023 3:57:35.3,1,2
5000,6/14/2023 4:03:07.3,8,2
5000,6/14/2023 4:03:12.3,9,2
5000,6/14/2023 4:03:28.8,1,2
5000,6/14/2023 4:08:20.3,8,2
5000,6/14/2023 4:08:25.3,9,2
5000,6/14/2023 4:08:43.3,1,2
5000,6/14/2023 4:13:20.0,8,2
5000,6/14/2023 4:13:25.0,9,2
5000,6/14/2023 4:13:42.1,1,2
5000,6/14/2023 4:15:16.8,8,2
5000,6/14/2023 4:15:21.8,9,2
5000,6/14/2023 4:15:38.4,1,2
5000,6/14/2023 4:21:58.6,1,2
5000,6/14/2023 4:22:24.6,9,2
5000,6/14/2023 4:24:40.0,8,2
5000,6/14/2023 4:24:45.0,9,2
5000,6/14/2023 4:25:02.2,1,2
5000,6/14/2023 4:38:33.4,8,2
5000,6/14/2023 4:38:38.4,9,2
5000,6/14/2023 4:38:56.4,1,2
5000,6/14/2023 4:40:10.5,8,2
5000,6/14/2023 4:40:15.5,9,2
5000,6/14/2023 4:40:33.2,1,2
5000,6/14/2023 4:40:43.2,8,2
5000,6/14/2023 4:40:48.2,9,2
5000,6/14/2023 4:42:00.2,8,2
5000,6/14/2023 4:42:05.2,9,2
5000,6/14/2023 4:42:22.3,1,2
5000,6/14/2023 4:42:34.2,8,2
5000,6/14/2023 4:42:39.2,9,2
5000,6/14/2023 4:42:55.8,1,2
5000,6/14/2023 4:43:48.2,8,2
5000,6/14/2023 4:43:53.2,9,2
5000,6/14/2023 4:44:29.8,1,2
5000,6/14/2023 4:44:39.8,8,2
5000,6/14/2023 4:44:44.8,9,2
5000,6/14/2023 4:45:03.7,1,2
5000,6/14/2023 4:48:40.3,8,2
5000,6/14/2023 4:48:45.3,9,2
5000,6/14/2023 4:49:01.9,1,2
5000,6/14/2023 4:50:21.4,8,2
5000,6/14/2023 4:50:26.4,9,2
5000,6/14/2023 4:50:43.0,1,2
5000,6/14/2023 4:53:22.0,8,2
5000,6/14/2023 4:53:27.0,9,2
5000,6/14/2023 4:53:43.5,1,2
5000,6/14/2023 4:54:51.0,8,2
5000,6/14/2023 4:54:56.0,9,2
5000,6/14/2023 4:55:13.4,1,2
5000,6/14/2023 4:55:48.7,8,2
5000,6/14/2023 4:55:53.7,9,2
5000,6/14/2023 4:56:11.9,1,2
5000,6/14/2023 5:01:43.6,8,2
5000,6/14/2023 5:01:48.6,9,2
5000,6/14/2023 5:02:07.0,1,2
5000,6/14/2023 5:02:25.0,8,2
5000,6/14/2023 5:02:30.0,9,2
5000,6/14/2023 5:02:47.3,1,2
5000,6/14/2023 5:04:09.6,8,2
5000,6/14/2023 5:04:14.6,9,2
5000,6/14/2023 5:04:31.6,1,2
5000,6/14/2023 5:04:43.0,8,2
5000,6/14/2023 5:04:48.0,9,2
5000,6/14/2023 5:05:04.6,1,2
5000,6/14/2023 5:08:29.4,8,2
5000,6/14/2023 5:08:34.4,9,2
5000,6/14/2023 5:08:51.7,1,2
5000,6/14/2023 5:09:04.1,8,2
5000,6/14/2023 5:09:09.1,9,2
5000,6/14/2023 5:09:27.7,1,2
5000,6/14/2023 5:09:55.2,8,2
5000,6/14/2023 5:10:00.2,9,2
5000,6/14/2023 5:10:19.5,1,2
5000,6/14/2023 5:13:32.6,8,2
5000,6/14/2023 5:13:37.6,9,2
5000,6/14/2023 5:14:22.2,1,2
5000,6/14/2023 5:18:30.9,8,2
5000,6/14/2023 5:18:35.9,9,2
5000,6/14/2023 5:18:52.5,1,2
5000,6/14/2023 5:24:50.4,8,2
5000,6/14/2023 5:24:55.4,9,2
5000,6/14/2023 5:25:12.5,1,2
5000,6/14/2023 5:26:54.2,8,2
5000,6/14/2023 5:26:59.2,9,2
5000,6/14/2023 5:27:15.8,1,2
5000,6/14/2023 5:28:29.0,8,2
5000,6/14/2023 5:28:34.0,9,2
5000,6/14/2023 5:28:52.8,1,2
5000,6/14/2023 5:29:23.4,8,2
5000,6/14/2023 5:29:28.4,9,2
5000,6/14/2023 5:29:48.2,1,2
5000,6/14/2023 5:30:05.3,8,2
5000,6/14/2023 5:30:10.3,9,2
5000,6/14/2023 5:30:28.2,1,2
5000,6/14/2023 5:31:51.2,8,2
5000,6/14/2023 5:31:56.2,9,2
5000,6/14/2023 5:32:14.6,1,2
5000,6/14/2023 5:32:32.9,8,2
5000,6/14/2023 5:32:37.9,9,2
5000,6/14/2023 5:32:54.5,1,2
5000,6/14/2023 5:34:08.7,8,2
5000,6/14/2023 5:34:13.7,9,2
5000,6/14/2023 5:34:30.6,1,2
5000,6/14/2023 5:35:01.4,8,2
5000,6/14/2023 5:35:06.4,9,2
5000,6/14/2023 5:35:23.6,1,2
5000,6/14/2023 5:35:34.0,8,2
5000,6/14/2023 5:35:39.0,9,2
5000,6/14/2023 5:35:55.6,1,2
5000,6/14/2023 5:38:50.4,8,2
5000,6/14/2023 5:38:55.4,9,2
5000,6/14/2023 5:39:16.1,1,2
5000,6/14/2023 5:41:51.5,8,2
5000,6/14/2023 5:41:56.5,9,2
5000,6/14/2023 5:42:15.7,1,2
5000,6/14/2023 5:46:34.3,8,2
5000,6/14/2023 5:46:39.3,9,2
5000,6/14/2023 5:46:57.0,1,2
5000,6/14/2023 5:47:15.2,8,2
5000,6/14/2023 5:47:20.2,9,2
5000,6/14/2023 5:47:39.4,1,2
5000,6/14/2023 5:48:23.2,8,2
5000,6/14/2023 5:48:28.2,9,2
5000,6/14/2023 5:48:44.7,1,2
5000,6/14/2023 5:49:08.0,8,2
5000,6/14/2023 5:49:13.0,9,2
5000,6/14/2023 5:49:29.5,1,2
5000,6/14/2023 5:50:21.4,8,2
5000,6/14/2023 5:50:26.4,9,2
5000,6/14/2023 5:50:44.6,1,2
5000,6/14/2023 5:51:24.1,8,2
5000,6/14/2023 5:51:29.1,9,2
5000,6/14/2023 5:51:46.3,1,2
5000,6/14/2023 5:51:56.3,8,2
5000,6/14/2023 5:52:01.3,9,2
5000,6/14/2023 5:52:17.8,1,2
5000,6/14/2023 5:52:30.2,8,2
5000,6/14/2023 5:52:35.2,9,2
5000,6/14/2023 5:52:54.2,1,2
5000,6/14/2023 5:53:11.0,8,2
5000,6/14/2023 5:53:16.0,9,2
5000,6/14/2023 5:54:16.0,1,2
5000,6/14/2023 5:54:55.6,8,2
5000,6/14/2023 5:55:00.6,9,2
5000,6/14/2023 5:55:19.0,1,2
5000,6/14/2023 5:56:29.4,8,2
5000,6/14/2023 5:56:34.4,9,2
5000,6/14/2023 5:56:52.6,1,2
5000,6/14/2023 5:57:16.2,8,2
5000,6/14/2023 5:57:21.2,9,2
5000,6/14/2023 5:57:39.6,1,2
5000,6/14/2023 5:58:01.2,8,2
5000,6/14/2023 5:58:06.2,9,2
5000,6/14/2023 5:58:24.8,1,2
5000,6/14/2023 5:58:47.9,8,2
5000,6/14/2023 5:58:52.9,9,2
5000,6/14/2023 5:59:09.4,1,2
5000,6/14/2023 6:02:07.8,1,2
5000,6/14/2023 6:03:46.6,8,2
5000,6/14/2023 6:03:51.6,9,2
5000,6/14/2023 6:04:08.2,1,2
5000,6/14/2023 6:05:04.1,8,2
5000,6/14/2023 6:05:09.1,9,2
5000,6/14/2023 6:05:27.1,1,2
5000,6/14/2023 6:05:59.2,8,2
5000,6/14/2023 6:06:04.2,9,2
5000,6/14/2023 6:06:21.2,1,2
5000,6/14/2023 6:08:05.5,8,2
5000,6/14/2023 6:08:10.5,9,2
5000,6/14/2023 6:08:27.6,1,2
5000,6/14/2023 6:09:50.9,8,2
5000,6/14/2023 6:09:55.9,9,2
5000,6/14/2023 6:10:13.8,1,2
5000,6/14/2023 6:11:48.7,1,2
5000,6/14/2023 6:12:12.3,8,2
5000,6/14/2023 6:12:17.3,9,2
5000,6/14/2023 6:12:36.1,1,2
5000,6/14/2023 6:13:23.3,8,2
5000,6/14/2023 6:13:28.3,9,2
5000,6/14/2023 6:13:48.0,1,2
5000,6/14/2023 6:15:03.1,8,2
5000,6/14/2023 6:15:08.1,9,2
5000,6/14/2023 6:15:27.6,1,2
5000,6/14/2023 6:15:58.5,8,2
5000,6/14/2023 6:16:03.5,9,2
5000,6/14/2023 6:16:21.9,1,2
5000,6/14/2023 6:16:39.0,8,2
5000,6/14/2023 6:16:44.0,9,2
5000,6/14/2023 6:17:04.2,1,2
5000,6/14/2023 6:17:21.6,8,2
5000,6/14/2023 6:17:26.6,9,2
5000,6/14/2023 6:17:46.8,1,2
5000,6/14/2023 6:18:43.7,8,2
5000,6/14/2023 6:18:48.7,9,2
5000,6/14/2023 6:19:12.3,1,2
5000,6/14/2023 6:19:41.9,8,2
5000,6/14/2023 6:19:46.9,9,2
5000,6/14/2023 6:20:10.4,1,2
5000,6/14/2023 6:20:20.4,8,2
5000,6/14/2023 6:20:25.4,9,2
5000,6/14/2023 6:20:46.8,1,2
5000,6/14/2023 6:20:59.9,8,2
5000,6/14/2023 6:21:55.8,8,2
5000,6/14/2023 6:22:00.8,9,2
5000,6/14/2023 6:22:21.0,1,2
5000,6/14/2023 6:25:39.5,8,2
5000,6/14/2023 6:25:44.5,9,2
5000,6/14/2023 6:26:02.8,1,2
5000,6/14/2023 6:26:28.2,8,2
5000,6/14/2023 6:26:33.2,9,2
5000,6/14/2023 6:26:50.7,1,2
5000,6/14/2023 6:27:28.6,8,2
5000,6/14/2023 6:27:33.6,9,2
5000,6/14/2023 6:27:50.5,1,2
5000,6/14/2023 6:28:05.4,8,2
5000,6/14/2023 6:28:10.4,9,2
5000,6/14/2023 6:28:30.3,1,2
5000,6/14/2023 6:29:47.8,8,2
5000,6/14/2023 6:29:52.8,9,2
5000,6/14/2023 6:30:09.3,1,2
5000,6/14/2023 6:31:05.2,8,2
5000,6/14/2023 6:31:10.2,9,2
5000,6/14/2023 6:31:28.9,1,2
5000,6/14/2023 6:33:07.2,8,2
5000,6/14/2023 6:33:12.2,9,2
5000,6/14/2023 6:33:28.8,1,2
5000,6/14/2023 6:34:58.3,8,2
5000,6/14/2023 6:35:03.3,9,2
5000,6/14/2023 6:35:26.9,1,2
5000,6/14/2023 6:36:58.3,8,2
5000,6/14/2023 6:37:03.3,9,2
5000,6/14/2023 6:37:38.8,1,2
5000,6/14/2023 6:38:58.3,8,2
5000,6/14/2023 6:39:03.3,9,2
5000,6/14/2023 6:39:23.7,1,2
5000,6/14/2023 6:40:58.3,8,2
5000,6/14/2023 6:42:58.3,8,2
5000,6/14/2023 6:43:03.3,9,2
5000,6/14/2023 6:43:26.1,1,2
5000,6/14/2023 6:44:58.3,8,2
5000,6/14/2023 6:45:03.3,9,2
5000,6/14/2023 6:45:27.7,1,2
5000,6/14/2023 6:46:58.3,8,2
5000,6/14/2023 6:47:03.3,9,2
5000,6/14/2023 6:47:30.1,1,2
5000,6/14/2023 6:48:58.3,8,2
5000,6/14/2023 6:49:03.3,9,2
5000,6/14/2023 6:49:47.8,1,2
5000,6/14/2023 6:50:58.3,8,2
5000,6/14/2023 6:52:58.3,8,2
5000,6/14/2023 6:53:03.3,9,2
5000,6/14/2023 6:53:30.3,1,2
5000,6/14/2023 6:54:58.3,8,2
5000,6/14/2023 6:55:03.3,9,2
5000,6/14/2023 6:56:00.3,1,2
5000,6/14/2023 6:57:30.7,8,2
5000,6/14/2023 6:57:35.7,9,2
5000,6/14/2023 6:57:53.0,1,2
5000,6/14/2023 6:58:58.3,8,2
5000,6/14/2023 6:59:03.3,9,2
5000,6/14/2023 6:59:34.1,1,2
5000,6/14/2023 7:01:53.0,1,2
5000,6/14/2023 7:02:58.3,8,2
5000,6/14/2023 7:03:03.3,9,2
5000,6/14/2023 7:03:24.4,1,2
5000,6/14/2023 7:04:58.3,8,2
5000,6/14/2023 7:05:03.3,9,2
5000,6/14/2023 7:05:24.4,1,2
5000,6/14/2023 7:06:58.3,8,2
5000,6/14/2023 7:07:03.3,9,2
5000,6/14/2023 7:07:28.0,1,2
5000,6/14/2023 7:08:58.3,8,2
5000,6/14/2023 7:09:03.3,9,2
5000,6/14/2023 7:09:26.5,1,2
5000,6/14/2023 7:10:58.3,8,2
5000,6/14/2023 7:11:03.3,9,2
5000,6/14/2023 7:11:24.5,1,2
5000,6/14/2023 7:12:58.3,8,2
5000,6/14/2023 7:13:03.3,9,2
5000,6/14/2023 7:13:23.6,1,2
5000,6/14/2023 7:14:58.3,8,2
5000,6/14/2023 7:15:03.3,9,2
5000,6/14/2023 7:15:39.7,1,2
5000,6/14/2023 7:16:58.3,8,2
5000,6/14/2023 7:17:03.3,9,2
5000,6/14/2023 7:17:23.4,1,2
5000,6/14/2023 7:18:58.3,8,2
5000,6/14/2023 7:19:03.3,9,2
5000,6/14/2023 7:19:24.2,1,2
5000,6/14/2023 7:20:58.3,8,2
5000,6/14/2023 7:22:58.3,8,2
5000,6/14/2023 7:23:03.3,9,2
5000,6/14/2023 7:23:30.6,1,2
5000,6/14/2023 7:24:58.3,8,2
5000,6/14/2023 7:25:03.3,9,2
5000,6/14/2023 7:25:27.2,1,2
5000,6/14/2023 7:26:58.3,8,2
5000,6/14/2023 7:27:03.3,9,2
5000,6/14/2023 7:27:26.2,1,2
5000,6/14/2023 7:28:58.3,8,2
5000,6/14/2023 7:29:03.3,9,2
5000,6/14/2023 7:29:40.8,1,2
5000,6/14/2023 7:30:58.3,8,2
5000,6/14/2023 7:32:58.3,8,2
5000,6/14/2023 7:33:03.3,9,2
5000,6/14/2023 7:33:41.5,1,2
5000,6/14/2023 7:34:58.3,8,2
5000,6/14/2023 7:35:03.3,9,2
5000,6/14/2023 7:35:27.8,1,2
5000,6/14/2023 7:36:58.3,8,2
5000,6/14/2023 7:37:03.3,9,2
5000,6/14/2023 7:37:30.8,1,2
5000,6/14/2023 7:38:58.3,8,2
5000,6/14/2023 7:39:03.3,9,2
5000,6/14/2023 7:39:51.0,1,2
5000,6/14/2023 7:40:58.3,8,2
5000,6/14/2023 7:41:49.7,1,2
5000,6/14/2023 7:42:58.3,8,2
5000,6/14/2023 7:43:03.3,9,2
5000,6/14/2023 7:43:36.3,1,2
5000,6/14/2023 7:44:58.3,8,2
5000,6/14/2023 7:45:03.3,9,2
5000,6/14/2023 7:46:01.0,1,2
5000,6/14/2023 7:46:58.3,8,2
5000,6/14/2023 7:47:03.3,9,2
5000,6/14/2023 7:47:30.1,1,2
5000,6/14/2023 7:48:58.3,8,2
5000,6/14/2023 7:49:03.3,9,2
5000,6/14/2023 7:49:32.8,1,2
5000,6/14/2023 7:50:58.3,8,2
5000,6/14/2023 7:52:58.3,8,2
5000,6/14/2023 7:53:03.3,9,2
5000,6/14/2023 7:53:33.4,1,2
5000,6/14/2023 7:54:58.3,8,2
5000,6/14/2023 7:55:03.3,9,2
5000,6/14/2023 7:55:30.1,1,2
5000,6/14/2023 7:56:58.3,8,2
